"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\ProducerListScreen\ProducerListScreen.jsx", "JavaScript", 46, 0, 0, 3, 49
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authContext.jsx", "JavaScript", 13, 0, 0, 4, 17
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\loginScreen\loginScreen.css", "CSS", 0, 52, 0, 6, 58
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\loginScreen\loginScreen.jsx", "JavaScript", 56, 0, 0, 8, 64
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\logoutScreen\logoutScreen.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\logoutScreen\logoutScreen.jsx", "JavaScript", 21, 0, 1, 3, 25
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\registerScreen\registerScreen.css", "CSS", 0, 53, 0, 7, 60
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\registerScreen\registerScreen.jsx", "JavaScript", 107, 0, 0, 11, 118
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\valdationScreen\validationScreen.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\valdationScreen\validationScreen.jsx", "JavaScript", 42, 0, 0, 3, 45
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\homeScreen\homeScreen.css", "CSS", 0, 28, 0, 4, 32
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\homeScreen\homeScreen.jsx", "JavaScript", 48, 0, 0, 5, 53
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\orderScreensAndcontext\CartValidationScreen\cartValidationScreen.css", "CSS", 0, 12, 0, 1, 13
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\orderScreensAndcontext\CartValidationScreen\cartValidationscreen.jsx", "JavaScript", 124, 0, 1, 9, 134
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\orderScreensAndcontext\cartScreen\cartScreen.css", "CSS", 0, 31, 0, 1, 32
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\orderScreensAndcontext\cartScreen\cartScreen.jsx", "JavaScript", 127, 0, 0, 8, 135
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\orderScreensAndcontext\orderContext.jsx", "JavaScript", 17, 0, 0, 4, 21
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\orderScreensAndcontext\payementScreen\payementscreen.jsx", "JavaScript", 24, 0, 0, 7, 31
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\orderScreensAndcontext\successOrderscreen\successOrderScreen.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\orderScreensAndcontext\successOrderscreen\successOrderScreen.jsx", "JavaScript", 15, 0, 0, 2, 17
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\adminPanelScreen\adminPanelScreen.css", "CSS", 0, 25, 0, 1, 26
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\adminPanelScreen\adminPanelScreen.jsx", "JavaScript", 77, 0, 0, 10, 87
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\adminPanelScreen\adminUserPanel\adminUserPanelScreen.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\adminPanelScreen\adminUserPanel\adminUserPanelScreen.jsx", "JavaScript", 39, 0, 0, 3, 42
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\producerPanelScreen\commandsScreen\OrderScreen.css", "CSS", 0, 20, 0, 3, 23
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\producerPanelScreen\commandsScreen\OrderScreen.jsx", "JavaScript", 169, 0, 4, 8, 181
